,0
cat__gouvernorat_Bizerte,0.11206740122110898
cat__sexe_M,0.060896889234586964
cat__gouvernorat_Tataouine,0.036735073259938376
cat__gouvernorat_La Manouba,0.032146003934623656
cat__classe_prec_et_Non Applicable,0.03140865364280766
cat__classe_prec_et_1-FIND-1,0.03030648391110722
cat__classe_prec_et_1-LSG-6,0.024372409550823544
cat__classe_prec_et_1-LBC-11,0.02115970948555243
cat__classe_prec_et_1-LBC-6,0.019067523466121578
cat__classe_prec_et_1-LBC-4,0.018456034224854097
cat__classe_prec_et_1-LBC-1,0.01707079554726074
cat__gouvernorat_Inconnu,0.016454170989544003
cat__classe_prec_et_1-MDSI-4,0.016366539642867887
cat__classe_prec_et_1-BA-4,0.014861590897093654
cat__classe_prec_et_1-LSG-4,0.014729462535098029
cat__classe_prec_et_1-LSG-3,0.013938750036282423
cat__classe_prec_et_1-LSG-9,0.011850529019334775
cat__gouvernorat_Gabès,0.01097393955294531
cat__gouvernorat_Zaghouan,0.010930119121881304
cat__gouvernorat_Sfax,0.010407763265828044
cat__gouvernorat_Médenine,0.007994051560508466
cat__classe_prec_et_2-LBC-BIS4,0.004270685069230381
cat__gouvernorat_Jendouba,0.0036763020326414752
cat__classe_prec_et_1-LSG-7,0.003443083760161677
cat__gouvernorat_Monastir,0.0020173829368648035
cat__classe_prec_et_1-MKD-1,0.0017203807444697667
cat__classe_prec_et_1-MCCA-1,0.0016419896691730709
cat__gouvernorat_Siliana,0.0010710369319500335
cat__gouvernorat_Kasserine,0.0007426571591431132
cat__classe_prec_et_1-BA-2,0.0002630839921146259
cat__classe_prec_et_1-LSG-2,4.3998497403895864e-05
cat__classe_prec_et_1-BA-3,-0.0008254293356917327
cat__classe_prec_et_1-MKD-2,-0.0009237487284497263
cat__classe_prec_et_1-BA-1,-0.0010790116560295527
cat__classe_prec_et_1-LSG-5,-0.0017425399270248236
cat__classe_prec_et_1-LBC-9,-0.0018306255016885783
cat__classe_prec_et_1-LBC-3,-0.002299880861811486
cat__classe_prec_et_1-MDSI-2,-0.003986072995009661
cat__gouvernorat_Nabeul,-0.006195538856962648
cat__classe_prec_et_1-LBC-10,-0.006423934279217633
cat__classe_prec_et_1-LBC-7,-0.007089595705931969
cat__classe_prec_et_3-LBC-BI-2,-0.008084183311039026
cat__gouvernorat_Sidi Bouzid,-0.009417984962801324
cat__gouvernorat_Mahdia,-0.010607712711575349
cat__classe_prec_et_1-LBC-14,-0.012000361325909892
cat__gouvernorat_Tozeur,-0.012578631003490246
cat__gouvernorat_Kébili,-0.01264924211262093
cat__classe_prec_et_1-LBC-12,-0.012734934659262889
cat__gouvernorat_Kairouan,-0.013369835782640995
cat__classe_prec_et_1-LBC-16,-0.01382102036896895
cat__gouvernorat_Béja,-0.014485365465712415
cat__classe_prec_et_1-LBC-8,-0.014908347501804278
cat__gouvernorat_Ben Arous,-0.0150624578032397
cat__classe_prec_et_1DSI-AS1-1,-0.01547226617168481
cat__gouvernorat_Le Kef,-0.01717623066624208
cat__gouvernorat_Sousse,-0.017319600064523686
cat__classe_prec_et_1-GAMMA-1,-0.018415198743519406
cat__classe_prec_et_1-LBC-15,-0.01948990871848107
cat__classe_prec_et_1-LBC-2,-0.01953582600910404
num__niveau_courant_et,-0.020011511637666925
cat__classe_prec_et_1-LBC-5,-0.021443638767850756
cat__classe_prec_et_1-MDSI-1,-0.02250716796544733
cat__classe_prec_et_2-LSG-4,-0.022936312321362957
cat__classe_prec_et_2-LSG-6,-0.023067747091365737
cat__classe_prec_et_1-BA-5,-0.023664077680179668
cat__classe_prec_et_1-LSG-1,-0.02391704481277379
cat__classe_prec_et_1-MDSI-3,-0.02421628820988505
cat__classe_prec_et_1-BA-6,-0.024371284429114456
cat__gouvernorat_Ariana,-0.024526825095423335
cat__gouvernorat_Gafsa,-0.02551986069115835
cat__classe_prec_et_2-LSG-1,-0.025959312031428823
cat__classe_prec_et_1-LBC-13,-0.03019646696325145
cat__classe_prec_et_1-LSG-8,-0.030687969738234035
cat__gouvernorat_Tunis,-0.0456066585469024
cat__sexe_F,-0.060896889234586964
cat__classe_prec_et_2-LBC-BIS1,
cat__classe_prec_et_2-LSC-2,
cat__classe_prec_et_2-LSG-2,
cat__classe_prec_et_3-LSC-1,
