Feature,Importance
cat__gouvernorat_Tunis,0.9019894605765234
cat__classe_prec_et_1-BA-6,0.8658087774344436
cat__gouvernorat_Médenine,0.8353412924583299
cat__classe_prec_et_1-FIND-1,0.8316818407146221
cat__classe_prec_et_1-MDSI-2,0.7980555599748206
cat__classe_prec_et_1-LBC-8,0.7889741258851976
cat__sexe_M,0.6225636600382841
cat__sexe_F,-0.6160628954537344
cat__gouvernorat_Ariana,-0.5057085633376616
cat__gouvernorat_Nabeul,-0.27674457772210376
cat__gouvernorat_Ben Arous,-0.24172799698319747
cat__gouvernorat_Bizerte,-0.19966020276315619
cat__classe_prec_et_1-LSG-4,-0.1745437069618851
cat__classe_prec_et_1-LBC-6,-0.17433414391982252
num__niveau_courant_et,0.17292862108251175
cat__classe_prec_et_1-LBC-12,-0.1713323278181167
cat__classe_prec_et_1-LBC-15,-0.1647540197750798
cat__classe_prec_et_1-LSG-7,-0.15085632446954675
cat__classe_prec_et_1-LBC-7,-0.1244454522046888
cat__classe_prec_et_1-LBC-13,-0.12085893607856249
cat__classe_prec_et_1-LBC-4,-0.12079255218626148
cat__gouvernorat_La Manouba,-0.11543137830147988
cat__classe_prec_et_1-LSG-5,-0.11390879894392082
cat__classe_prec_et_1-LBC-5,-0.11263899959110625
cat__classe_prec_et_1-LBC-1,-0.10726021376447561
cat__classe_prec_et_1-LBC-9,-0.10590934327665347
cat__classe_prec_et_1-LBC-14,-0.10159464044769363
cat__classe_prec_et_1-LBC-2,-0.098134360370724
cat__classe_prec_et_1-LSG-3,-0.09715407761845148
cat__classe_prec_et_1-LBC-16,-0.09606636652362222
cat__classe_prec_et_1-LBC-3,-0.09505671874339054
cat__classe_prec_et_1-BA-4,-0.0948288726411865
cat__classe_prec_et_1-LSG-9,-0.08990298514176312
cat__gouvernorat_Siliana,-0.08748510971059825
cat__classe_prec_et_1-LBC-10,-0.08221029189398561
cat__classe_prec_et_1-LSG-8,-0.08163351527287632
cat__classe_prec_et_Non Applicable,-0.07894855360857223
cat__classe_prec_et_1-BA-5,-0.07861270943403832
cat__classe_prec_et_1-LSG-6,-0.07699480588879634
cat__classe_prec_et_1-LSG-1,-0.06563049658890559
cat__classe_prec_et_1-BA-2,-0.061193948172920856
cat__classe_prec_et_1-LBC-11,-0.05881552892152969
cat__classe_prec_et_1-BA-1,-0.04965570370121891
cat__classe_prec_et_1-MKD-1,-0.04698944097907681
cat__gouvernorat_Inconnu,-0.045229969362296486
cat__gouvernorat_Gabès,-0.04039639787248105
cat__classe_prec_et_1-MDSI-3,-0.040245317421139785
cat__classe_prec_et_1-MCCA-1,-0.04020498432835652
cat__classe_prec_et_1-LSG-2,-0.03789010708784418
cat__gouvernorat_Béja,-0.03661391847237218
cat__classe_prec_et_1-BA-3,-0.03545326390429838
cat__classe_prec_et_1-MKD-2,-0.03178330095177814
cat__gouvernorat_Jendouba,-0.03168609288899067
cat__gouvernorat_Mahdia,-0.023741959265651928
cat__gouvernorat_Zaghouan,-0.023237389845762957
cat__gouvernorat_Monastir,-0.02168628541002919
cat__classe_prec_et_1-MDSI-4,-0.021379532297454887
cat__classe_prec_et_1-MDSI-1,-0.0172993251033802
cat__gouvernorat_Kairouan,-0.015671959085900394
cat__classe_prec_et_3-LSC-1,-0.015459871814823844
cat__gouvernorat_Gafsa,-0.01431145584544937
cat__gouvernorat_Sousse,-0.013378582207703014
cat__classe_prec_et_1DSI-AS1-1,-0.012744045068056377
cat__gouvernorat_Sfax,-0.012612392563109589
cat__classe_prec_et_1-GAMMA-1,-0.01069298392784734
cat__gouvernorat_Le Kef,-0.009509735902461089
cat__gouvernorat_Sidi Bouzid,-0.006939903205174603
cat__gouvernorat_Kébili,-0.005568554004275619
cat__classe_prec_et_3-LBC-BI-2,-0.005490541254239855
cat__classe_prec_et_2-LSC-2,-0.005238318924887631
cat__classe_prec_et_2-LBC-BIS1,-0.004751915647306789
cat__gouvernorat_Tozeur,-0.002990598710048834
cat__classe_prec_et_2-LSG-6,-0.0018634673777553135
cat__classe_prec_et_2-LSG-2,-0.0012323646882456078
cat__classe_prec_et_2-LSG-4,-0.0012323646882456078
cat__gouvernorat_Kasserine,-0.0004329621168660864
cat__gouvernorat_Tataouine,-6.400287353306617e-05
cat__classe_prec_et_2-LBC-BIS4,0.0
cat__classe_prec_et_2-LSG-1,0.0
