Feature,Importance
cat__classe_prec_et_Non Applicable,0.27334760693000404
num__niveau_courant_et,0.19381563343297953
cat__sexe_M,0.03943637200635261
cat__sexe_F,0.0307619253932241
cat__gouvernorat_Ariana,0.02746862648507459
cat__gouvernorat_Tunis,0.021837185384549155
cat__gouvernorat_Ben Arous,0.0162937971086238
cat__gouvernorat_Nabeul,0.01526837664215418
cat__gouvernorat_Bizerte,0.014163740959652393
cat__classe_prec_et_1-LBC-1,0.01258018636268233
cat__classe_prec_et_1-LBC-5,0.012075715141266728
cat__classe_prec_et_1-LBC-7,0.011451649901105048
cat__classe_prec_et_1-LBC-13,0.011015421593304753
cat__classe_prec_et_1-LSG-4,0.010519990813490572
cat__classe_prec_et_1-LBC-9,0.010065807650287133
cat__classe_prec_et_1-LSG-3,0.009741151333891985
cat__classe_prec_et_1-LSG-1,0.009620211666539192
cat__classe_prec_et_1-LBC-12,0.009596302180531154
cat__classe_prec_et_1-BA-3,0.00931814900836939
cat__classe_prec_et_1-LSG-7,0.009296784942905001
cat__classe_prec_et_1-LBC-4,0.008742163913529229
cat__classe_prec_et_1-LBC-3,0.0086974281594189
cat__classe_prec_et_1-BA-4,0.008647139538311513
cat__gouvernorat_Siliana,0.00858773047094315
cat__classe_prec_et_1-LBC-14,0.00849297886310877
cat__classe_prec_et_1-LBC-8,0.008063963211324614
cat__classe_prec_et_1-LBC-6,0.007848866762251876
cat__gouvernorat_La Manouba,0.0078020801364174965
cat__classe_prec_et_1-FIND-1,0.007781334282275275
cat__classe_prec_et_1-LBC-2,0.007318814989620243
cat__classe_prec_et_1-MKD-1,0.007267043943674001
cat__classe_prec_et_1-LSG-2,0.007237142466130247
cat__classe_prec_et_1-LBC-15,0.007178029152531429
cat__classe_prec_et_1-LBC-11,0.007110799281069727
cat__gouvernorat_Jendouba,0.006784194735981867
cat__classe_prec_et_1-LSG-6,0.006558686683676544
cat__classe_prec_et_1-LBC-10,0.006483650178011026
cat__classe_prec_et_1-LBC-16,0.006461665812418093
cat__classe_prec_et_1-LSG-5,0.006389151870452478
cat__classe_prec_et_1-BA-2,0.00638643060272846
cat__gouvernorat_Béja,0.005857225148451914
cat__gouvernorat_Gabès,0.005581578226761169
cat__classe_prec_et_1-MDSI-2,0.005460385945586238
cat__classe_prec_et_1DSI-AS1-1,0.0053850501912665084
cat__classe_prec_et_1-LSG-8,0.0050921723940241205
cat__gouvernorat_Médenine,0.005038294426351069
cat__classe_prec_et_1-MDSI-3,0.004709283485750329
cat__classe_prec_et_1-MDSI-4,0.004554399076848562
cat__classe_prec_et_1-LSG-9,0.004269696596022974
cat__classe_prec_et_1-BA-1,0.004265484828713176
cat__gouvernorat_Inconnu,0.003783537403870132
cat__classe_prec_et_1-MKD-2,0.0035506329531752256
cat__classe_prec_et_1-BA-6,0.003525584284924303
cat__gouvernorat_Monastir,0.0033121097015786625
cat__classe_prec_et_1-BA-5,0.0033029083736734366
cat__gouvernorat_Zaghouan,0.0032455032378955672
cat__classe_prec_et_1-MDSI-1,0.0030237653080479854
cat__gouvernorat_Mahdia,0.0029851462506014837
cat__classe_prec_et_1-GAMMA-1,0.002733458242195169
cat__classe_prec_et_1-MCCA-1,0.00266432907773089
cat__gouvernorat_Le Kef,0.0026102279739941437
cat__gouvernorat_Kairouan,0.0025591300814720355
cat__gouvernorat_Sfax,0.001958720349449686
cat__gouvernorat_Sousse,0.0018739137044145933
cat__gouvernorat_Sidi Bouzid,0.0018337203057071007
cat__classe_prec_et_3-LSC-1,0.0017854269882937785
cat__gouvernorat_Tozeur,0.0015687968071161206
cat__classe_prec_et_3-LBC-BI-2,0.0015495397717904236
cat__gouvernorat_Gafsa,0.0013053703923871385
cat__gouvernorat_Kébili,0.0010352699885842025
cat__classe_prec_et_2-LSG-6,0.0006432826626090008
cat__classe_prec_et_2-LSG-2,0.0004410733608174837
cat__classe_prec_et_2-LSG-4,0.0003351002793861171
cat__classe_prec_et_2-LSC-2,0.00033268424506797045
cat__classe_prec_et_2-LBC-BIS1,0.00031139911793505193
cat__gouvernorat_Kasserine,1.8688266435856631e-06
cat__gouvernorat_Tataouine,0.0
cat__classe_prec_et_2-LBC-BIS4,0.0
cat__classe_prec_et_2-LSG-1,0.0
