Catégorie,Domaine,Metiers,Competences,Competence_Count,Cluster,PCA1,PCA2
M11 - Achats (2),M1101 - Achats,Acheteur / Acheteuse;Acheteur / Acheteuse chargé d'affaires import;Acheteur / Acheteuse de commerce;Acheteur / Acheteuse de produits de distribution;Acheteur / Acheteuse e-commerce;Acheteur / Acheteuse junior;Acheteur / Acheteuse public;Acheteur / Acheteuse sénior;Acheteur / Acheteuse sourcing;Acheteur approvisionneur / Acheteuse approvisionneuse;Acheteur approvisionneur / Acheteuse approvisionneuse alimentaire;Acheteur approvisionneur / Acheteuse approvisionneuse non alimentaire;Acheteur confirmé / Acheteuse confirmée;Acheteur industriel / Acheteuse industrielle;Acheteur international / Acheteuse internationale,Identifier besoins entreprise marché fournisseurs produits appels offres cahiers charges fournisseurs prestataires réponses appel offres capacité fournisseurs demandes prix délais livraison produits fournisseurs Suivre exécution contrats achats liquidation selon clauses qualité délais livraison fournisseurs produits audits enquêtes satisfaction échantillons axes amélioration données tendances marché nouveaux produits référencement fournisseurs Réglementation marchés publics Droit commercial E procurement Gestion électronique achats Organisation chaîne logistique Procédures appel offres Réglementation douanes Réglementation transport marchandises Techniques Techniques commerciales Argumentation commerciale Utilisation outils bureautiques traitement texte tableur élaboration évolution stratégie achat entreprise Renseigner supports suivi achats bilan annuel activité dossiers contentieux règlement litiges traitement réclamations collaboration service juridique Coordonner activité équipe Severity Notice Message Trying to get property of non object Filename web php Line Number 538 Identifier besoins entreprise marché fournisseurs produits appels offres cahiers charges fournisseurs prestataires réponses appel offres capacité fournisseurs demandes prix délais livraison produits fournisseurs Suivre exécution contrats achats liquidation selon clauses qualité délais livraison fournisseurs produits audits enquêtes satisfaction échantillons axes amélioration données tendances marché nouveaux produits référencement fournisseurs Réglementation marchés publics Droit commercial E procurement Gestion électronique achats Organisation chaîne logistique Procédures appel offres Réglementation douanes Réglementation transport marchandises Techniques Techniques commerciales Argumentation commerciale Utilisation outils bureautiques traitement texte tableur élaboration évolution stratégie achat entreprise Renseigner supports suivi achats bilan annuel activité dossiers contentieux règlement litiges traitement réclamations collaboration service juridique Coordonner activité équipe Severity Notice Message Trying to get property of non object Filename web php Line Number 538 D1509 Management département grande distribution E1402 Élaboration plan média D1407 Relation technico commerciale H1102 Management ingénierie affaires M1102 Direction achats N1301 Conception organisation chaîne logistique,50,3,-0.05272033826932492,-0.1385106760828231
M11 - Achats (2),M1102 - Direction des achats,Chef  de division achats;Chef  secteur achats;Chef de département  Import;Chef de département achats;Chef de service achats;Directeur / Directrice approvisionnement;Directeur / Directrice des achats;Directeur / Directrice des achats étrangers;Ingénieur / Ingénieure achats;Responsable achats et approvisionnement;Responsable achats et logistique;Responsable achats industriels;Responsable des achats;Responsable du service achats étrangers;Responsable sourcing achats,orientations stratégiques investissements équipements spécialisation structure leur définition procédures gestion achats entreprise Définir objectifs performance achats résultats axes progrès cahier charges type contrat type catalogue référencement appui équipe service achat sélection fournisseurs marchés place modalités suivi fournisseurs axes évolution Définir budget structure Coordonner activité service actions gestion ressources humaines formation Suivre jour informations professionnelles réglementaires Droit commercial Conduite projet E Gestion électronique achats Organisation chaîne logistique Procédures appel offres Réglementation douanes Réglementation transport marchandises Législation sociale Techniques Techniques management Techniques commerciales Utilisation outils bureautiques traitement texte tableur zone Nationale zone Internationale Severity Notice Message Trying to get property of non object Filename web php Line Number 538 Définir orientations stratégiques investissements équipements spécialisation structure leur définition procédures gestion achats entreprise Définir objectifs performance achats résultats axes progrès cahier charges type contrat type catalogue référencement appui équipe service achat sélection fournisseurs marchés place modalités suivi fournisseurs axes évolution Définir budget structure Coordonner activité service actions gestion ressources humaines formation Suivre jour informations professionnelles réglementaires Droit commercial Conduite projet E Gestion électronique achats Organisation chaîne logistique Procédures appel offres Réglementation douanes Réglementation transport marchandises Législation sociale Techniques Techniques management Techniques commerciales Utilisation outils bureautiques traitement texte tableur zone Nationale zone Internationale Severity Notice Message Trying to get property of non object Filename web php Line Number 538 D1509 Management département grande distribution Administration ventes D1504 Direction magasin grande distribution M1707 Stratégie commerciale,50,3,-0.11629165719211802,-0.2004615711421502
M12 - Comptabilité et gestion (7),M1201 - Analyse et ingénierie financière,Analyste financier / financière;Analyste quantitatif en finance;Chargé / Chargée d'analyse et d'ingénierie financière;Gestionnaire de risques financiers;Ingénieur financier / Ingénieure financière;Responsable engagement SICAR;Responsable financement de projet;Responsable merger and acquisition;Risk manager- risques financiers,information financière économique géopolitique investissement marchés modèles prévisions entreprise projet restructuration produit financier valeur entreprise conclusions recommandations cession actifs financiers destination opérateurs marchés business introduction bourse publique achat instances dirigeantes entreprise Etudier risques crédits marché entreprise solutions couverture appui technique courtiers traders trésoriers matière litiges arbitrage Comptabilité générale Gestion économique financière Fiscalité Mathématiques financières Econométrie Réglementation bancaire Réglementation marchés financiers Droit commercial Droit économique Méthodes gestion risques Analyse financière Typologie facteurs risques financiers Caractéristiques actifs financiers Loi sécurité financière Calculs financiers Analyse risques financiers activité certification CMF évaluation savoirs Conseil Marchés Financiers Rédiger notes conjonctures sectorielles études grandes entreprises marchés affaires financières potentielles rapprochement externalisation entreprises fusion acquisition projets oeuvre opérations fusion acquisition modèles mathématiques financiers opérateurs marchés instruments évaluation fragilité sensibilité entreprise risques crédits marché change toutes opérations placements rachats Coordonner activité équipe Etude prospective Modélisation économique information financière économique géopolitique investissement marchés modèles prévisions entreprise projet restructuration produit financier valeur entreprise conclusions recommandations cession actifs financiers destination opérateurs marchés business introduction bourse publique achat instances dirigeantes entreprise Etudier risques crédits marché entreprise solutions couverture appui technique courtiers traders trésoriers matière litiges arbitrage Comptabilité générale Gestion économique financière Fiscalité Mathématiques financières Econométrie Réglementation bancaire Réglementation marchés financiers Droit commercial Droit économique Méthodes gestion risques Analyse financière Typologie facteurs risques financiers Caractéristiques actifs financiers Loi sécurité financière Calculs financiers Analyse risques financiers activité certification CMF évaluation savoirs Conseil Marchés Financiers Rédiger notes conjonctures sectorielles études grandes entreprises marchés affaires financières potentielles rapprochement externalisation entreprises fusion acquisition projets oeuvre opérations fusion acquisition modèles mathématiques financiers opérateurs marchés instruments évaluation fragilité sensibilité entreprise risques crédits marché change toutes opérations placements rachats Coordonner activité équipe Etude prospective Modélisation économique C1202 Analyse crédits risques bancaires M1207 Trésorerie financement M1403 Études prospectives socio économiques C1205 Conseil gestion patrimoine financier C1301 office marchés financiers Gestion middle office marchés financiers,72,2,-0.09448299675629995,-0.20068778218000274
M12 - Comptabilité et gestion (7),M1202 - Audit et contrôle comptables et financiers,Analyste budgétaire;Auditeur / Auditrice comptable;Auditeur / Auditrice interne;Auditeur comptable et financier / Auditrice comptable et financiére;Auditeur légal / Auditrice légale;Collaborateur / Collaboratrice d'expertise comptable;Contrôleur / Contrôleuse budgétaire;Contrôleur comptable et financier / Contrôleuse comptable et financierère;Expert comptable-commissaire aux comptes/ Experte comptable-commissaire aux comptes;Expert-comptable / Experte-comptable;Inspecteur comptable et financier / Inspectrice comptable et financierère;Réviseur/Réviseurse comptable,Définir oeuvre méthodes procédures matière contrôle comptable leur application améliorations oeuvre plan annuel structure missions éléments nécessaires commissaire comptes contrôleur gestion régularité fiabilité opérations états financiers structures Identifier irrégularités inexactitudes lors enquêtes vérifications Gestion comptable administrative Droit sociétés Fiscalité Droit pénal Droit travail Réglementation marchés publics Comptabilité générale Règlementations fonctions expert comptable commissaire comptes Comptabilité publique Ecriture comptable Utilisation outils bureautiques traitement texte tableur Révision légale comptes Contrôle interne Effectuer suivi provision charges encours risques financiers gestion actif passif crédit structure développement mise jour système information outils informatiques simplification processus traitement internes structure cotations coût revient interne tableaux bord analyse résultats Suivre entreprises recommandations fonction analyse indicateurs plans trésorerie marges mensuelles place protocoles lors plans redressement réorganisations restructurations structure suivi audits recherche documents comptables contrôle règles fonctionnement rencontre collaborateurs processus préparation budgets suivi résultats unité produit identification écarts causes Animer organes contrôle externes commissaire comptes contrôleur gestion place structure comptable interne Coordonner activité équipe structure Indicateurs couverture risques financier Analyse financière Méthodes enquête Techniques conduite entretien Normes rédactionnelles Techniques management Techniques planification Définir oeuvre méthodes procédures matière contrôle comptable leur application améliorations oeuvre plan annuel structure missions éléments nécessaires commissaire comptes contrôleur gestion régularité fiabilité opérations états financiers structures Identifier irrégularités inexactitudes lors enquêtes vérifications Gestion comptable administrative Droit sociétés Fiscalité Droit pénal Droit travail Réglementation marchés publics Comptabilité générale Règlementations fonctions expert comptable commissaire comptes Comptabilité publique Ecriture comptable Utilisation outils bureautiques traitement texte tableur Révision légale comptes Contrôle interne Effectuer suivi provision charges encours risques financiers gestion actif passif crédit structure développement mise jour système information outils informatiques simplification processus traitement internes structure cotations coût revient interne tableaux bord analyse résultats Suivre entreprises recommandations fonction analyse indicateurs plans trésorerie marges mensuelles place protocoles lors plans redressement réorganisations restructurations structure suivi audits recherche documents comptables contrôle règles fonctionnement rencontre collaborateurs processus préparation budgets suivi résultats unité produit identification écarts causes Animer organes contrôle externes commissaire comptes contrôleur gestion place structure comptable interne Coordonner activité équipe structure Indicateurs couverture risques financier Analyse financière Méthodes enquête Techniques conduite entretien Normes rédactionnelles Techniques management Techniques planification M1204 Contrôle gestion M1206 Management groupe service comptable M1201 Analyse ingénierie financière M1205 Direction administrative financière,74,2,-0.22047620635571671,-0.09409280052935577
M12 - Comptabilité et gestion (7),M1203 - Comptabilité,Agent / Agente comptable;Aide-comptable;Assistant / Assistante comptable;Assistant / Assistante comptable et budgétaire;Assistant / Assistante de cabinet comptable;Assistant(e) administratif(ve) et comptable;Comptable;Comptable -caissier;Comptable analytique;Comptable clientèle;Comptable d'entreprise;Comptable fournisseurs;Comptable général / générale;Comptable industriel / industrielle;Comptable principal / principale;Comptable service paie;Comptable trésorerie;Comptable unique;Comptable-gestionnaire de stock;Gestionnaire comptable;Responsable de gestion comptable;Technicien / Technicienne comptable,Vérifier éléments constitutifs payes facturation mandatements réglementation saisie factures mandats titres rapprochement bancaire suivi trésorerie fiabilité déclarations fiscales sociales légales paramétrage systèmes traitement données comptables taux cotisation sociales états financiers entre différents services internes externes auditeurs autorités Droit travail Fiscalité Droit sociétés Comptabilité publique Réglementation marchés publics Gestion comptable administrative Eléments base droit public Utilisation outils bureautiques traitement texte tableur Comptabilité générale Comptabilité clients Comptabilité fournisseurs Comptabilité analytique Comptabilité OPCVM Paye Fiscalité Recouvrement créances Effectuer suivi particulier Activités chantier suivi particulier Budget suivi particulier Notes frais suivi particulier Paiements Effectuer suivi particulier Parc véhicules entretien coût kilométrique suivi particulier Placements stocks entrées sorties production ensemble flux achat matières premières chiffre affaires inventaires Contrôler recettes entreprise saisie paiement clients édition factures relances commandes conformité contrats achats qualité produits Vérifier fonds valeurs selon commande client Définir budget structure gestion portefeuille dossiers clients arrêtés comptes conseils gestion calcul commissions performances contrôle justification résultats commerciaux Coordonner activité équipe structure Procédures créances Procédures délais paiement Instruction fonctionnement régies avance recette Techniques Tableaux bord Modalités budget Règles gestion stocks Techniques commerciales Analyse statistique Chiffrage calcul coût Vérifier éléments constitutifs payes facturation mandatements réglementation saisie factures mandats titres rapprochement bancaire suivi trésorerie fiabilité déclarations fiscales sociales légales paramétrage systèmes traitement données comptables taux cotisation sociales états financiers entre différents services internes externes auditeurs autorités Droit travail Fiscalité Droit sociétés Comptabilité publique Réglementation marchés publics Gestion comptable administrative Eléments base droit public Utilisation outils bureautiques traitement texte tableur Comptabilité générale Comptabilité clients Comptabilité fournisseurs Comptabilité analytique Comptabilité OPCVM Paye Fiscalité Recouvrement créances Effectuer suivi particulier Activités chantier suivi particulier Budget suivi particulier Notes frais suivi particulier Paiements Effectuer suivi particulier Parc véhicules entretien coût kilométrique suivi particulier Placements stocks entrées sorties production ensemble flux achat matières premières chiffre affaires inventaires Contrôler recettes entreprise saisie paiement clients édition factures relances commandes conformité contrats achats qualité produits Vérifier fonds valeurs selon commande client Définir budget structure gestion portefeuille dossiers clients arrêtés comptes conseils gestion calcul commissions performances contrôle justification résultats commerciaux Coordonner activité équipe structure Procédures créances Procédures délais paiement Instruction fonctionnement régies avance recette Techniques Tableaux bord Modalités budget Règles gestion stocks Techniques commerciales Analyse statistique Chiffrage calcul coût C1502 Gestion locative immobilière K1504 Contrôle inspection Trésor Public M1608 Secrétariat comptable Formation professionnelle M1204 Contrôle gestion M1206 Management groupe service comptable M1207 Trésorerie financement,101,2,-0.26527950828504293,0.022472446524327113
M12 - Comptabilité et gestion (7),M1204 - Contrôle de gestion,Analyste de gestion d'entreprise;Assistant / Assistante au contrôle de gestion;Assistant / Assistante de contrôle budgétaire;Chargé / Chargée du contrôle de gestion;Conseiller / Conseillère en gestion;Consultant / Consultante interne en gestion;Contrôleur / Contrôleuse de gestion;Contrôleur / Contrôleuse de gestion budgétaire;Contrôleur / Contrôleuse de gestion centrale;Contrôleur / Contrôleuse de gestion chargé(e) du budget;Contrôleur / Contrôleuse de gestion commerciale;Contrôleur / Contrôleuse de gestion d'usine;Contrôleur / Contrôleuse de gestion de groupe;Contrôleur / Contrôleuse de gestion financière;Contrôleur / Contrôleuse de gestion industrielle;Contrôleur financier / Contrôleuse financière;Contrôleur/Contrôleuse de gestion d'une unité de production;Directeur / Directrice du contrôle budgétaire;Directeur / Directrice du contrôle de gestion;Responsable contrôle de gestion;Responsable contrôle de gestion et budgets;Responsable contrôle de gestion et comptabilité;Responsable du service contrôle de gestion,Définir place indicateurs procédures suivi activité structure performances structure résultats financiers actions correctives Effectuer suivi budgétaire clôtures comptables opérations place contrôle interne structure reporting auprès instances dirigeantes solutions optimisation rentabilité structure appui technique conseil gestion études coûts réalisation économies Comptabilité analytique Comptabilité générale Comptabilité publique Droit sociétés Fiscalité financier Principes reporting Gestion comptable administrative Gestion économique financière Techniques élaboration budget Analyse risques financiers activités Commerce ventes tarifs marges activités Comptabilité comptable activités Fiscalité activités Trésorerie clôture budgétaire Accompagner filiales groupe leur organisation prévisionnel licences budgets reporting actions communication harmonisation règles contrôle interne auprès services comptables financiers Suivre place système information gestion Entreprise Ressources Planning ERP progiciel gestion intégré plans prévisionnels activité résultats entreprise conjoncture économique direction entreprise sa stratégie matière croissance externe Coordonner activité équipe structure Techniques gestion information Etude prospective Techniques management Définir place indicateurs procédures suivi activité structure performances structure résultats financiers actions correctives Effectuer suivi budgétaire clôtures comptables opérations place contrôle interne structure reporting auprès instances dirigeantes solutions optimisation rentabilité structure appui technique conseil gestion études coûts réalisation économies Comptabilité analytique Comptabilité générale Comptabilité publique Droit sociétés Fiscalité financier Principes reporting Gestion comptable administrative Gestion économique financière Techniques élaboration budget Analyse risques financiers activités Commerce ventes tarifs marges activités Comptabilité comptable activités Fiscalité activités Trésorerie clôture budgétaire Accompagner filiales groupe leur organisation prévisionnel licences budgets reporting actions communication harmonisation règles contrôle interne auprès services comptables financiers Suivre place système information gestion Entreprise Ressources Planning ERP progiciel gestion intégré plans prévisionnels activité résultats entreprise conjoncture économique direction entreprise sa stratégie matière croissance externe Coordonner activité équipe structure Techniques gestion information Etude prospective Techniques management M1202 Audit contrôle comptables financiers M1205 Direction administrative financière Formation professionnelle M1206 Management groupe service comptable,64,2,-0.27653313916417427,-0.2419582858069244
M12 - Comptabilité et gestion (7),M1205 - Direction administrative et financière,"Chef de service administratif;Chef de service Financier;Directeur / Directrice des affaires financières;Directeur / Directrice des services communs;Directeur / Directrice des services généraux;Directeur administratif / Directrice administrative;Directeur administratif et financier /  Directrice administrative et financière -DAF-;Directeur financier / Directrice financière;Directeur financier / Directrice financière et comptable;Responsable administratif / administrative;Responsable administratif et financier / Responsable administrative et financière;Responsable administratif, comptable et financier / Responsable administrative, comptable et financière;Responsable des services généraux;Responsable financier / financière;Secrétaire général / générale d'entreprise;Travel Manager",Définir place procédures gestion administrative financière indicateurs nécessaires suivi activité reporting direction budget prévisionnel structure instances dirigeantes ajustements Suivre évolution résultats financiers structure son plan financement gestion trésorerie recommandations allocation ressources financières instances dirigeantes Superviser interne évaluation risques financiers validation choix fiscaux Superviser action services conseils juridiques matière litige montages financiers Comptabilité générale Comptabilité analytique Comptabilité publique Droit sociétés Fiscalité financier Normes comptables International Financial Reports Standards IFRS Réglementation bancaire Analyse financière Gestion comptable administrative Analyse risques financiers Conduire fonctions Commerciales Conduire fonctions Comptables Conduire fonctions Financières fonctions Logistiques Conduire fonctions Ressources Humaines activités Gestion déplacements professionnels activités Gestion relations fournisseurs services fiscaux intermédiaires financiers banques assurances activités Gestion patrimoine activités Négociation financeurs exécution conventions activités Règlement contentieux gestion ressources humaines structure paie formation Définir place politique besoins système information déploiement nouveaux outils informatiques Droit travail Droit commercial Droit affaires Techniques négociation syndicales Gestion prévisionnelle emplois compétences GPEC Législation sociale Normes qualité Définir place procédures gestion administrative financière indicateurs nécessaires suivi activité reporting direction budget prévisionnel structure instances dirigeantes ajustements Suivre évolution résultats financiers structure son plan financement gestion trésorerie recommandations allocation ressources financières instances dirigeantes Superviser interne évaluation risques financiers validation choix fiscaux Superviser action services conseils juridiques matière litige montages financiers Comptabilité générale Comptabilité analytique Comptabilité publique Droit sociétés Fiscalité financier Normes comptables International Financial Reports Standards IFRS Réglementation bancaire Analyse financière Gestion comptable administrative Analyse risques financiers Conduire fonctions Commerciales Conduire fonctions Comptables Conduire fonctions Financières fonctions Logistiques Conduire fonctions Ressources Humaines activités Gestion déplacements professionnels activités Gestion relations fournisseurs services fiscaux intermédiaires financiers banques assurances activités Gestion patrimoine activités Négociation financeurs exécution conventions activités Règlement contentieux gestion ressources humaines structure paie formation Définir place politique besoins système information déploiement nouveaux outils informatiques Droit travail Droit commercial Droit affaires Techniques négociation syndicales Gestion prévisionnelle emplois compétences GPEC Législation sociale Normes qualité M1204 Contrôle gestion M1206 Management groupe service comptable M1207 Trésorerie financement M1301 Direction grande entreprise établissement public M1302 Direction petite moyenne entreprise,79,2,-0.2726854322536878,-0.25510843944086126
M12 - Comptabilité et gestion (7),M1206 - Management de groupe ou de service comptable,Adjoint / Adjointe au chef comptable;Agent / Agente comptable responsable de service;Chef comptable;Chef de groupe comptable;Chef de service comptabilité;Directeur / Directrice comptable;Directeur / Directrice des services comptables;Responsable comptabilité;Responsable comptabilité publique;Responsable consolidation comptable;Responsable reporting et consolidation comptable;Sous-directeur / Sous-directrice comptable,gestion comptable administrative structure déclarations fiscales sociales structure suivi enregistrements formalités légales établissement situations intermédiaires annexes comptables financières tableau bord économique structure bilan compte résultat structure tenue trésorerie états financiers prévisions trésorerie relations commissaire comptes banques emprunts placements financiers crédit impôts Réglementation marchés publics Eléments base droit public Droit sociétés Gestion comptable Normes comptables International Financial Reports Standards IFRS Droit économique Normes comptables Tunisiennes Fiscalité Relations juridiques crédit travail contentieux Comptabilité générale Comptabilité analytique Comptabilité Tiers Trésorerie relations bancaires Gestion financière Fiscalité gestion filiales phases consolidation budgétaire établissement comptes consolidés bilan résultat tableaux financement comptabilité achats amortissements immobilisations matériel structure Concevoir place procédures comptables efficacité cohérence comptes sociaux déclarations sociales déclarations employeur structure Effectuer opérations gestion finances publiques engagement dépenses paiement recettes Coordonner activité équipe structure Analyse comptable financière Finance Techniques management Etablissement comptes consolidés mensuels annuels Réconciliation comptes réciproques Effectuer gestion comptable administrative structure déclarations fiscales sociales structure suivi enregistrements formalités légales établissement situations intermédiaires annexes comptables financières tableau bord économique structure bilan compte résultat structure tenue trésorerie états financiers prévisions trésorerie relations commissaire comptes banques emprunts placements financiers crédit impôts Réglementation marchés publics Eléments base droit public Droit sociétés Gestion comptable Normes comptables International Financial Reports Standards IFRS Droit économique Normes comptables Tunisiennes Fiscalité Relations juridiques crédit travail contentieux Comptabilité générale Comptabilité analytique Comptabilité Tiers Trésorerie relations bancaires Gestion financière Fiscalité gestion filiales phases consolidation budgétaire établissement comptes consolidés bilan résultat tableaux financement comptabilité achats amortissements immobilisations matériel structure Concevoir place procédures comptables efficacité cohérence comptes sociaux déclarations sociales déclarations employeur structure Effectuer opérations gestion finances publiques engagement dépenses paiement recettes Coordonner activité équipe structure Analyse comptable financière Finance Techniques management Etablissement comptes consolidés mensuels annuels Réconciliation comptes réciproques M1202 Audit contrôle comptables financiers M1204 Contrôle gestion M1205 Direction administrative financière M1207 Trésorerie financement,70,2,-0.35883766244454607,-0.11085704244811498
M12 - Comptabilité et gestion (7),M1207 - Trésorerie et financement,Cash manager;Chargé / Chargée de trésorerie et de financement;Consultant financier spécialisé / Consultante financière spécialisée;Credit controller;Credit manager;Directeur / Directrice de trésorerie;Directeur / Directrice marché en devises;Directeur / Directrice marché en dinars;Expert financier / Experte financière;Négociateur / Négociatrice en devises;Responsable de la trésorerie;Responsable financement exportations;Responsable financement investissements;Responsable gestion trésorerie;Responsable investissements;Responsable relations bancaires;Trésorier / Trésorière devises;Trésorier / Trésorière dinars;Trésorier / Trésorière marché monétaire,Suivre positions trésorerie prise compte comptable trésorerie prévisionnelle respect ratios financiers endettement solvabilité fond roulement budget trésorerie selon éléments comptables financiers entreprise historique son activité besoins financement disponibilités financières structure place actions ligne crédit investissement flux financiers entrants sortants structure procédures traitement sécurisation fragilités financières structure recommandations gestion Comptabilité générale Comptabilité analytique Comptabilité publique Fiscalité Normes comptables International Financial Reports Standards IFRS Analyse financière Typologie facteurs risques financiers Caractéristiques actifs financiers Loi sécurité financière Droit commercial Droit économique Gestion comptable administrative Gestion budgétaire Calcul ratios financiers Utilisation logiciels gestion comptable Rechercher partenaires banque société affacturage solutions financement importation exportations Suivre relations bancaires ouverture compte négociations coûts directeur financier virements liquidités comptes filiales groupe factures internes comptabilité consolidation Définir oeuvre procédures gestion trésorerie procédures comptables activité équipe Affacturage Economie marchés financiers Techniques commerciales Contrôle gestion Suivre positions trésorerie prise compte comptable trésorerie prévisionnelle respect ratios financiers endettement solvabilité fond roulement budget trésorerie selon éléments comptables financiers entreprise historique son activité besoins financement disponibilités financières structure place actions ligne crédit investissement flux financiers entrants sortants structure procédures traitement sécurisation fragilités financières structure recommandations gestion Comptabilité générale Comptabilité analytique Comptabilité publique Fiscalité Normes comptables International Financial Reports Standards IFRS Analyse financière Typologie facteurs risques financiers Caractéristiques actifs financiers Loi sécurité financière Droit commercial Droit économique Gestion comptable administrative Gestion budgétaire Calcul ratios financiers Utilisation logiciels gestion comptable Rechercher partenaires banque société affacturage solutions financement importation exportations Suivre relations bancaires ouverture compte négociations coûts directeur financier virements liquidités comptes filiales groupe factures internes comptabilité consolidation Définir oeuvre procédures gestion trésorerie procédures comptables activité équipe Affacturage Economie marchés financiers Techniques commerciales Contrôle gestion M1201 Analyse ingénierie financière Formation professionnelle M1204 Contrôle gestion M1205 Direction administrative financière,64,2,-0.2963450706571172,-0.1825560932086405
M13 - Direction d'entreprise (2),M1301 - Direction de grande entreprise ou d'établissement public,Directeur / Directrice d'un groupe de filiales;Directeur / Directrice de filiale;Directeur général / Directrice générale d'établissement public à caractère non Administratif -EPNA-;Directeur général / Directrice générale de grande entreprise;Directeur général/Directrice générale d'établissement public;Directeur(trice) général(e) adjoint(e) établissement public;Directeur(trice) général(e) fonction publique et assimilé;Directeur/Directrice d'Etablissement Public -EPSCP-;Directeur/Directrice d'Etablissement Public -EPST-;Directeur/Directrice d'Etablissement Public Administratif;Directeur/Directrice d'Etablissement Public et Commercial;Dirigeant / Dirigeante d'entreprise privée;Président Directeur Général/Présidente Directrice Générale;Secrétaire général / générale d'établissement public;Secrétaire général / générale d'établissement public d'enseignement supérieur,politique générale organisation développement économique orientations financières structure Définir politique gestion ressources humaines structure directions stratégiques structure échanges équipe direction Suivre données activité service structure axes évolution Mener actions communication auprès acteurs environnement socio économique Gestion économique financière Techniques communication Techniques management Techniques conduite réunion Conduite projet Législation sociale stratégie commerciale établissement public Etablissement Public caractère Administratif EPA établissement public Etablissement Public caractère Industriel Commercial EPIC établissement public Etablissement Public caractère Scientifique Technologique établissement public Etablissement Public caractère Scientifique Culturel Professionnel établissement public Etablissement public caractère non Administratif EPNA Droit commercial Droit affaires Droit administratif Comptabilité publique politique générale organisation développement économique orientations financières structure Définir politique gestion ressources humaines structure directions stratégiques structure échanges équipe direction Suivre données activité service structure axes évolution Mener actions communication auprès acteurs environnement socio économique Gestion économique financière Techniques communication Techniques management Techniques conduite réunion Conduite projet Législation sociale stratégie commerciale établissement public Etablissement Public caractère Administratif EPA établissement public Etablissement Public caractère Industriel Commercial EPIC établissement public Etablissement Public caractère Scientifique Technologique établissement public Etablissement Public caractère Scientifique Culturel Professionnel établissement public Etablissement public caractère non Administratif EPNA Droit commercial Droit affaires Droit administratif Comptabilité publique M1205 Direction administrative financière M1503 Management ressources humaines K2108 Enseignement supérieur Conseil organisation management entreprise,46,0,-0.1204415241100382,-0.11236909179842247
